Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Booth	100	1	0.8	50	50	1	f(-4.524032125657087, -4.464641624211639) = 761.05838862532	f(-5.341611314019537, -5) = 926.9432943877534	0.1312235407320827	0.10776520570255198	0.115081246958501	0	1	35.1876
Booth	100	2	0.8	50	50	1	f(-4.005707110911239, -4.7752837714455545) = 738.927053146282	f(-5.33556972216313, -5.044109823705903) = 931.947881927769	0.13514845764158082	0.10718712367229774	0.11866815523176852	0	1	35.1876
Booth	100	3	0.8	50	50	1	f(-4.246423140852215, -3.766236306296877) = 650.5228574982409	f(-5, -5) = 884	0.15348655668657027	0.11299435028248588	0.12473925874082005	0	1	35.1876
Booth	100	4	0.8	50	50	1	f(-4.246423140852215, -3.766236306296877) = 650.5228574982409	f(-5.053196504620843, -5.202455223584224) = 916.8158844019624	0.15348655668657027	0.1089543139310111	0.13021490255320453	0	1	35.1876
Booth	100	5	0.8	50	50	1	f(-2.8150360972278174, -4.725306542784799) = 606.9528945987184	f(-5, -4.603804997715805) = 834.0718921067979	0.1644864279592013	0.11975016875219041	0.13908345942541248	0	1	35.1876
Booth	100	6	0.8	50	50	1	f(-2.8150360972278174, -4.046210367150412) = 536.0702800011636	f(-4.785363429973365, -4.597809474923725) = 807.6344068436003	0.18619537092944957	0.12366527957960266	0.14689815174031473	0	1	35.1876
Booth	100	7	0.8	50	50	1	f(-3.3629267632381166, -3.1443227158244196) = 498.3969980386152	f(-3.606065591696862, -5.407412335411789) = 769.3028534500243	0.20024149202488326	0.12981906993089934	0.15651338583474955	0	1	35.1876
Booth	100	8	0.8	50	50	1	f(-3.1670092510000396, -3.1443227158244196) = 480.41093545433966	f(-5, -4.109062122143458) = 773.9288031453601	0.20772274295269866	0.1290441129483248	0.16356753616059083	0	1	35.1876
Booth	100	9	0.8	50	50	1	f(-2.8150360972278174, -3.1443227158244196) = 449.06251392783224	f(-4.130902712082568, -4.109062122143458) = 676.1318834697101	0.22219135543475868	0.14768171820175893	0.18083786275892114	0	1	35.1876
Booth	100	10	0.8	50	50	1	f(-2.252935997787908, -3.1443227158244196) = 401.56817956415165	f(-2.9770459275284846, -4.725306542784799) = 623.2774688474542	0.2484051275693647	0.16018518205473722	0.19330820865254503	0	1	35.1876
Booth	100	11	0.8	50	50	1	f(-2.1674035676556245, -3.1443227158244196) = 394.61813251040587	f(-3.112556962671529, -4.725306542784799) = 637.1335354464708	0.25276900066598873	0.15670701263182304	0.20227647311575445	0	1	35.1876
Booth	100	12	0.8	50	50	1	f(-1.0584273180277557, -3.1443227158244196) = 311.13025713124637	f(-3.4074370048032856, -3.766236306296877) = 564.6113557567276	0.3203790651988968	0.17679984495044426	0.21699710407372497	0	1	35.1876
Booth	100	13	0.8	50	50	1	f(-1.0584273180277557, -3.1443227158244196) = 311.13025713124637	f(-3.4733387934585647, -3.3587359412981135) = 529.7796549696336	0.3203790651988968	0.18840209692234924	0.24040145484068468	0	1	35.1876
Booth	100	14	0.8	50	50	1	f(-1.235312573376858, -2.571441587565526) = 279.8192257819162	f(-2.8150360972278174, -3.941515583322783) = 525.5527552420881	0.356100974645019	0.18991449385546175	0.2636825638016797	0	1	35.1876
Booth	100	15	0.8	50	50	1	f(-1.5688795342659674, -1.7136578278945473) = 240.95911390509735	f(-2.9425406743707896, -3.1874093554060883) = 464.29121192354125	0.4132929666754466	0.21491916768983044	0.2905642061273152	0	1	35.1876
Booth	100	16	0.8	50	50	1	f(-1.0584273180277557, -1.6600497726581938) = 206.50492457954238	f(-2.652176061858654, -3.1125972388531413) = 432.1054254484241	0.4819162735661593	0.23089066569984215	0.31625184698578357	0	1	35.1876
Booth	100	17	0.8	50	50	1	f(-0.14642865595442767, -2.3788300844067836) = 200.56211825475452	f(-2.2906087562850272, -3.0180752058474383) = 393.65172359762414	0.49612497063366795	0.25338797228200427	0.34840884150328416	0	1	35.1876
Booth	100	18	0.8	50	50	1	f(-0.14642865595442767, -2.3788300844067836) = 200.56211825475452	f(-0.6303753867989255, -4.384334680286518) = 382.2465129468084	0.49612497063366795	0.260928662419113	0.37588621216504103	0	1	35.1876
Booth	100	19	0.8	50	50	1	f(-0.5123640020258977, -1.568250947593666) = 171.05167425696197	f(-1.5688795342659674, -3.3230209092451983) = 362.8433094695787	0.5812207316892969	0.2748435862288712	0.4147215140355647	0	1	35.1876
Booth	100	20	0.8	50	50	1	f(-1.0584273180277557, -1.0422556285781102) = 169.45028325040488	f(-1.0618692935618819, -3.08394778260837) = 306.6830689589462	0.5866813365929825	0.3250097587051268	0.4550586037311233	0	1	35.1876
Booth	100	21	0.8	50	50	1	f(-0.8338139645124898, -0.5778381985304051) = 133.30771636637166	f(-1.5688795342659674, -2.522257761723373) = 298.9604838186834	0.7445588586080545	0.33337724598566404	0.48556345035179993	0	1	35.1876
