Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	50	1	1	30	5	f(-5, -5) = 50	f(-0.9867312175408653, -1.0272475630117437) = 2.2098010427681114	31.15457894977835	1	1.6651
Rastrigin	100	50	1	1	30	10	f(-5, -5) = 50	f(-0.9602995308769944, -0.023662956200594776) = 1.3425636894511914	42.688273727758364	1	1.315
Rastrigin	100	50	1	1	30	20	f(-5, -5) = 50	f(0.0018284136711772536, -0.015730071833116144) = 0.04971266901159588	95.26416413946828	1	2.4017
Rastrigin	100	50	1	1	30	50	f(-5, -5) = 50	f(-0.02341661643090953, -0.9819276655451674) = 1.1371735737750193	46.79077133794235	1	2.636
Rastrigin	100	50	1	1	30	100	f(-5, -5) = 50	f(-1.029092950068229, 0.015838922578316206) = 1.2753702668436535	43.948891069372166	1	3.7606
Booth	100	50	1	1	30	5	f(-5, -5) = 884	f(1.0830071869887392, 2.9327126362930844) = 0.01240623378245738	98.77457947526594	1	1.2356
Booth	100	50	1	1	30	10	f(-5, -5) = 884	f(0.9817384727957583, 3.0018470172165506) = 0.0014146394009735145	99.85873589766776	1	1.9011
Booth	100	50	1	1	30	20	f(-5, -5) = 884	f(1.023822214770354, 2.984925656944488) = 0.0011008347732774338	99.8900375731355	1	2.0303
Booth	100	50	1	1	30	50	f(-5, -5) = 884	f(1.0533230230821675, 2.9389009622260964) = 0.006818302825462585	99.32278715967637	1	2.4166
Booth	100	50	1	1	30	100	f(-5, -5) = 884	f(1.1056295844552169, 2.8301649389006807) = 0.05649093001517674	94.65296592613764	1	3.7776
Levi	100	50	1	1	30	5	f(-5, -5) = 36.0000000000001	f(-4.013679023167846, -2.3288335555227606) = 0.2217758253695237	81.84807550088429	1	1.5756
Levi	100	50	1	1	30	10	f(-5, -5) = 36.0000000000001	f(-3.6597844581072443, -4.329207641888236) = 0.45492973096598416	68.73184173204443	1	1.7454
Levi	100	50	1	1	30	20	f(-5, -5) = 36.0000000000001	f(-1.3342449021188922, -2.332243439555106) = 0.1899555919816708	84.03674950043036	1	2.6456
Levi	100	50	1	1	30	50	f(-5, -5) = 36.0000000000001	f(-2.000334786637714, -3.3307614655586044) = 0.30309925013163025	76.74012550456051	1	3.2412
Levi	100	50	1	1	30	100	f(-5, -5) = 36.0000000000001	f(-1.9947209095598495, -3.3299439579573775) = 0.2976873195697471	77.06016579799466	1	4.9855
