Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	100	1	0	30	25	f(-5, -5) = 50	f(-0.0011415580261431302, 0.004204400067883141) = 0.0037653045278496222	99.62488198079124	1	15.3415
Rastrigin	100	100	1	3	30	25	f(-5, -5) = 50	f(0.0012292852924156161, -0.0015538998626052347) = 0.0007788318977421937	99.92217742093273	1	5.6534
Rastrigin	100	100	1	6	30	25	f(-5, -5) = 50	f(-0.0027610263084900666, 0.006247454298667021) = 0.009254747879690939	99.08301170748675	1	7.9514
Rastrigin	100	100	1	9	30	25	f(-5, -5) = 50	f(0.0003247159711579073, 0.014502495918477187) = 0.04171849791193516	95.99522347010661	1	5.703
Rastrigin	100	100	1	12	30	25	f(-5, -5) = 50	f(-0.0017226036800266353, -0.0029531939296627563) = 0.0023188940238245692	99.76864708051993	1	5.3389
Rastrigin	100	100	1	15	30	25	f(-5, -5) = 50	f(-0.024164120226891184, 0.008463092740050637) = 0.1298271282139396	88.5091156893025	1	5.1088
Rastrigin	100	100	1	18	30	25	f(-5, -5) = 50	f(-0.005855482744521634, -0.019907009538255638) = 0.08532011927286476	92.1387139372274	1	6.7301
Rastrigin	100	100	1	21	30	25	f(-5, -5) = 50	f(-0.018832540003705267, -0.0599657341971469) = 0.7753196756905822	56.327883574602396	1	5.6458
Rastrigin	100	100	1	24	30	25	f(-5, -5) = 50	f(0.024076487637129107, -0.007162169302411092) = 0.12496047933407084	88.89201161910664	1	3.1953
Rastrigin	100	100	1	27	30	25	f(-5, -5) = 50	f(-0.006653542549135416, 0.00876016551114045) = 0.024002355441901102	97.65602536807222	1	3.1587
Rastrigin	100	100	1	30	30	25	f(-5, -5) = 50	f(-1.0374213834988015, 0.06527644169845281) = 2.1850187737912545	31.396989186649606	1	3.2169
Booth	100	100	1	0	30	25	f(-5, -5) = 884	f(0.984997128723017, 3.026069385295799) = 0.001394569926369144	99.86073721904927	1	4.213
Booth	100	100	1	3	30	25	f(-5, -5) = 884	f(0.9911369708868392, 3.012691280056207) = 0.0002982438956575556	99.9701845027243	1	3.5038
Booth	100	100	1	6	30	25	f(-5, -5) = 884	f(1.0023732242313066, 3.0042583233384743) = 0.0001996752035881367	99.98003646586392	1	3.8768
Booth	100	100	1	9	30	25	f(-5, -5) = 884	f(1.014464331126708, 2.991777890040966) = 0.0004326812675461401	99.95675058645647	1	4.9782
Booth	100	100	1	12	30	25	f(-5, -5) = 884	f(0.9482140606864684, 3.015410559955098) = 0.008211941762594198	99.18549449550878	1	4.2525
Booth	100	100	1	15	30	25	f(-5, -5) = 884	f(1.0241978388611652, 2.9376817995720463) = 0.010281741374060216	98.98228969672597	1	4.2737
Booth	100	100	1	18	30	25	f(-5, -5) = 884	f(1.021184913048297, 2.973078591262664) = 0.0013051923204280564	99.8696508986033	1	4.3242
Booth	100	100	1	21	30	25	f(-5, -5) = 884	f(1.0022274907164188, 2.99085985616921) = 0.0002796430364577466	99.9720435141908	1	4.0336
Booth	100	100	1	24	30	25	f(-5, -5) = 884	f(0.9561266821660057, 3.039089120681986) = 0.003544381543010679	99.6468136727983	1	3.2423
Booth	100	100	1	27	30	25	f(-5, -5) = 884	f(0.9493761788669715, 2.9537050242700964) = 0.04227900878537433	95.94359970516489	1	3.5413
Booth	100	100	1	30	30	25	f(-5, -5) = 884	f(1.0052264755884335, 3.022655143567108) = 0.0036501103240613106	99.63631645266469	1	4.023
Levi	100	100	1	0	30	25	f(-5, -5) = 36.0000000000001	f(-0.3465700021900182, -3.316879783673261) = 0.1997893035612578	83.34796759995808	1	4.4631
Levi	100	100	1	3	30	25	f(-5, -5) = 36.0000000000001	f(-5, -2.3326790068838275) = 0.19467701925596095	83.7046317859864	1	4.4382
Levi	100	100	1	6	30	25	f(-5, -5) = 36.0000000000001	f(-1.0022905269841698, -2.328489522916573) = 0.16612717225666335	85.75394037554432	1	5.4991
Levi	100	100	1	9	30	25	f(-5, -5) = 36.0000000000001	f(-0.0022080352242725976, -4.305719149237471) = 0.17052641620678	85.43164734723463	1	5.9127
Levi	100	100	1	12	30	25	f(-5, -5) = 36.0000000000001	f(-3.002283631263345, -5.3289175334926675) = 0.6091955318142528	62.142852141316325	1	5.0458
Levi	100	100	1	15	30	25	f(-5, -5) = 36.0000000000001	f(-4.0028183221118185, -2.3376989396026104) = 0.2871122814368342	77.69329952190931	1	4.4207
Levi	100	100	1	18	30	25	f(-5, -5) = 36.0000000000001	f(-5, -4.332410677703133) = 0.4913632588761748	67.05274479898047	1	4.9499
Levi	100	100	1	21	30	25	f(-5, -5) = 36.0000000000001	f(-2.9986474386238253, -3.3296856204143355) = 0.30148170361683463	76.83550196833247	1	4.4163
Levi	100	100	1	24	30	25	f(-5, -5) = 36.0000000000001	f(-3.3296893337706086, -3.3364248727279824) = 0.4062078319838009	71.11324352313234	1	4.2934
Levi	100	100	1	27	30	25	f(-5, -5) = 36.0000000000001	f(1.0013745552137383, -4.241378317505103) = 0.0002280331767695618	99.97720188105052	1	4.2865
Levi	100	100	1	30	30	25	f(-5, -5) = 36.0000000000001	f(-5, -2.3372065961998088) = 0.28664330633481877	77.72161834414217	1	4.9633
