Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	5	1	1	30	25	f(-5, -5) = 50	f(-4.0855263778713145, -4.036664508344017) = 34.65982859540689	2.804275958098137	1	0.2134
Rastrigin	100	10	1	1	30	25	f(-5, -5) = 50	f(-3.1146647312614166, -3.1865133924253497) = 28.455946969983433	3.3949001911873093	1	0.3379
Rastrigin	100	20	1	1	30	25	f(-5, -5) = 50	f(-2.066269590030542, -2.971752437513762) = 14.11229975231961	6.617126555119505	1	0.6925
Rastrigin	100	50	1	1	30	25	f(-5, -5) = 50	f(-1.0044002245313364, -0.9711107572394313) = 2.119986876906223	32.05141686338115	1	1.7343
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(0.00122775103520123, -0.0018468370621640418) = 0.0009757189173189573	99.9025232182081	1	3.3613
Booth	100	5	1	1	30	25	f(-5, -5) = 884	f(-4.426293439012278, -3.5283078372114787) = 643.7134303976272	0.1551076730917874	1	0.1845
Booth	100	10	1	1	30	25	f(-5, -5) = 884	f(-3.6093170609614447, -2.8409580130708005) = 492.1955907706848	0.20275931470461137	1	0.3477
Booth	100	20	1	1	30	25	f(-5, -5) = 884	f(-1.8111273091536082, -0.1594689302955996) = 160.4767584878725	0.6192841678049313	1	0.7057
Booth	100	50	1	1	30	25	f(-5, -5) = 884	f(0.8888993796273774, 3.029915957766639) = 0.039602110146066384	96.19064738715255	1	2.2685
Booth	100	100	1	1	30	25	f(-5, -5) = 884	f(1.0101019044415436, 2.992278618865921) = 0.000184335764833317	99.98156982085784	1	3.5212
Levi	100	5	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-5, -5.300363558067965) = 3.4633912252385617	22.404489087701503	1	0.2369
Levi	100	10	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-5, -4.326995559472604) = 0.5019841732950073	66.57859768297227	1	0.4572
Levi	100	20	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-3.3016030172212973, -3.318458912238672) = 0.6028184113557551	62.39009939710781	1	0.9185
Levi	100	50	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-1.666054382744103, -3.333269442387253) = 0.33606310467358647	74.84676408636477	1	2.2599
Levi	100	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(0.9927896616106213, -5.25674231486762) = 0.004665102460779028	99.53565596641582	1	4.4748
