Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Levi	100	1	0.8	50	50	1	f(-5, -4.334288346021825) = 0.5369068101622104	f(-5, -4.526319813891979) = 75.25274582208871	65.06575371960623	1.31142818428228	5.555856754504361	11.34399761146597	1	40.8533
Levi	100	2	0.8	50	50	1	f(-5, -4.334288346021825) = 0.5369068101622104	f(-5.890781188097217, -5.78921861406189) = 219.3178317840239	65.06575371960623	0.4538897246321366	8.511366477045833	15.526152495904062	1	40.8533
Levi	100	3	0.8	50	50	1	f(-5, -4.334288346021825) = 0.5369068101622104	f(-5, -5.6039944946924125) = 123.91997636906963	65.06575371960623	0.8005124793216031	13.13409760511235	20.41257555432769	1	40.8533
Levi	100	4	0.8	50	50	1	f(-5, -4.334288346021825) = 0.5369068101622104	f(-5.114327870612061, -5.527243185654477) = 94.105505260573	65.06575371960623	1.0514638424559852	17.36039558265587	21.75367823223003	1	40.8533
Levi	100	5	0.8	50	50	1	f(-4.6661049441994065, -4.334288346021825) = 0.5366192755124339	f(-4.90374113610533, -4.918083043524004) = 95.5760554810216	65.07792892722361	1.0354533481609347	26.45547725220932	23.62731665484042	1	40.8533
Levi	100	6	0.8	50	50	1	f(-4.6661049441994065, -4.334288346021825) = 0.5366192755124339	f(-4.90374113610533, -4.918083043524004) = 95.5760554810216	65.07792892722361	1.0354533481609347	32.267407146157716	22.668244377160807	1	40.8533
Levi	100	7	0.8	50	50	1	f(-4.6661049441994065, -4.334288346021825) = 0.5366192755124339	f(-5.272512338903928, -3.638679946349032) = 70.0151613869782	65.07792892722361	1.4081500069411466	41.02310905821892	20.860382184264303	1	40.8533
Levi	100	8	0.8	50	50	1	f(-4.6661049441994065, -4.334288346021825) = 0.5366192755124339	f(-5.0061314526867395, -4.490385521473969) = 62.395970729493314	65.07792892722361	1.5773873141984656	51.90316163478637	13.509468012947375	1	40.8533
Levi	100	9	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-4.371509180355577, -3.623819520645699) = 66.50027122766386	67.31288904577268	1.4814755286348638	52.42316036970103	14.930637823545064	1	40.8533
Levi	100	10	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-5.994958102045537, -3.9425792755143783) = 57.70760541487469	67.31288904577268	1.7033568188196464	55.85775668896153	9.999336787296253	1	40.8533
Levi	100	11	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-3.4798865009142688, -3.5747938297952757) = 56.78242314663976	67.31288904577268	1.7306300870460352	57.786541982412444	11.897291214600552	1	40.8533
Levi	100	12	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-5.994958102045537, -3.8678982333846923) = 115.49416327731322	67.31288904577268	0.8584121056945229	57.862688124417964	15.339356635256735	1	40.8533
Levi	100	13	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-5.994958102045537, -3.5623898530632765) = 73.63448884096124	67.31288904577268	1.3398631323527943	59.27202511589624	14.78099880927702	1	40.8533
Levi	100	14	0.8	50	50	1	f(-5.994958102045537, -4.329947164916552) = 0.4855995845312794	f(-4.637040956002783, -4.981132694937133) = 45.80643653079059	67.31288904577268	2.1364583038535137	60.877968345883744	12.705004845791015	1	40.8533
Levi	100	15	0.8	50	50	1	f(-5, -4.329947164916552) = 0.47017913746383067	f(-3.287799613693417, -3.7618803623530943) = 101.85678441598645	68.01892194750329	0.972225610277367	61.543773023812264	13.147108107233112	1	40.8533
Levi	100	16	0.8	50	50	1	f(-5, -3.3278353064932458) = 0.3539478806327935	f(-5, -3.4719742285818587) = 47.15171058707654	73.85808673319322	2.0767694185892336	62.214378252974804	13.30308588479308	1	40.8533
Levi	100	17	0.8	50	50	1	f(-5, -3.3278353064932458) = 0.3539478806327935	f(-6.906099537182752, -4.956202594066795) = 68.03349769369491	73.85808673319322	1.448572118476526	61.56345567751616	13.848300659186398	1	40.8533
