Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	50	1	1	5	25	f(-5, -5) = 50	f(-2.085123104831421, -2.006206694965118) = 9.77672654053095	9.279255590638117	1	1.1777
Rastrigin	100	50	1	1	10	25	f(-5, -5) = 50	f(-1.0706142078392673, -2.0074451657074235) = 6.1552188309205516	13.975812950382476	1	1.2933
Rastrigin	100	50	1	1	20	25	f(-5, -5) = 50	f(-0.9847175787995346, -0.9996094236339437) = 2.014983805970333	33.16767400275184	1	1.4872
Rastrigin	100	50	1	1	50	25	f(-5, -5) = 50	f(-0.013571499119658048, -0.06796186549938321) = 0.9390854388041401	51.57070338358651	1	2.1258
Rastrigin	100	50	1	1	100	25	f(-5, -5) = 50	f(0.0006015813921027569, 0.029387859158516383) = 0.17092856109871235	85.40230661567212	1	3.75
Booth	100	50	1	1	5	25	f(-5, -5) = 884	f(-0.07052448757715646, -0.29786213459584987) = 88.35312406042377	1.119155049714618	1	1.2507
Booth	100	50	1	1	10	25	f(-5, -5) = 884	f(0.6856059859276249, 1.3893023495582506) = 17.517102184350165	5.4004130346332255	1	1.3201
Booth	100	50	1	1	20	25	f(-5, -5) = 884	f(2.006493811593904, 1.804981774453662) = 2.583264170789179	27.90751539202759	1	1.6061
Booth	100	50	1	1	50	25	f(-5, -5) = 884	f(1.0161455454378687, 2.975744480452385) = 0.0011120955862539974	99.88891397964753	1	2.2613
Booth	100	50	1	1	100	25	f(-5, -5) = 884	f(1.0913317795414434, 2.8916866677539135) = 0.02122676442550036	97.92144456403454	1	3.6724
Levi	100	50	1	1	5	25	f(-5, -5) = 36.0000000000001	f(-2.6621043734280434, -4.331881049620596) = 0.48073966865181444	67.53381577941254	1	1.4936
Levi	100	50	1	1	10	25	f(-5, -5) = 36.0000000000001	f(-2.9881949555801706, -3.3277569830562768) = 0.3125695153005484	76.18644104887831	1	1.6435
Levi	100	50	1	1	20	25	f(-5, -5) = 36.0000000000001	f(-2.3354062716429524, -4.331100322724954) = 0.4640285670465496	68.30467809909918	1	2.2112
Levi	100	50	1	1	50	25	f(-5, -5) = 36.0000000000001	f(-4.000904079812994, -1.3329248097138582) = 0.09627396130663596	91.21807461413312	1	2.8673
Levi	100	50	1	1	100	25	f(-5, -5) = 36.0000000000001	f(1.0033149943926625, -4.27530503028041) = 0.005406216680535706	99.46228533394343	1	4.4061
