Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	5	100	1	1	30	25	f(-5, -5) = 50	f(-3.128069138866337, 1.9559572499979128) = 17.057638805658616	5.537822584460134	1	2.6349
Rastrigin	10	100	1	1	30	25	f(-5, -5) = 50	f(0.9798209115318675, -0.9379547415725156) = 2.670385963100127	27.245091117212304	1	2.7544
Rastrigin	20	100	1	1	30	25	f(-5, -5) = 50	f(-1.051826787575084, 0.05562809907694666) = 2.239597435233648	30.868032834081973	1	3.3038
Rastrigin	50	100	1	1	30	25	f(-5, -5) = 50	f(-0.01123435834372044, -0.0034301300170762605) = 0.027363033155131333	97.33657604254098	1	3.0101
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(-0.006431404983364253, 0.004584590173848824) = 0.012374585701216745	98.7776672907444	1	3.3616
Booth	5	100	1	1	30	25	f(-5, -5) = 884	f(-0.6243831858739375, -2.0975855465736597) = 209.36345369919928	0.4753677420745856	1	2.7254
Booth	10	100	1	1	30	25	f(-5, -5) = 884	f(0.5865381795209132, 3.6260794990614724) = 0.7437513251219959	57.34762667090952	1	3.2389
Booth	20	100	1	1	30	25	f(-5, -5) = 884	f(0.9628853136489921, 3.1709127656898906) = 0.10219637755779688	90.72793382026535	1	2.8437
Booth	50	100	1	1	30	25	f(-5, -5) = 884	f(1.0195548147820543, 2.9847914328046894) = 0.0006892507696358483	99.9311223969773	1	3.1742
Booth	100	100	1	1	30	25	f(-5, -5) = 884	f(1.004893022422123, 2.9923342502744568) = 0.00011345745407459456	99.9886555417059	1	3.4718
Levi	5	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-0.9414847450763209, -1.3359177241950972) = 0.3871165287288674	72.09199654742669	1	4.2399
Levi	10	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(2.0286607537370225, -3.288780912074916) = 0.26311343954125926	79.16945293236547	1	3.8443
Levi	20	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(1.970795200582979, -4.299196149224279) = 0.23118221314727794	81.22274585527794	1	3.9496
Levi	50	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-3.667557385057549, -1.3372700698348452) = 0.14746212090738234	87.14884629125943	1	4.1314
Levi	100	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(1.0017518763539652, -3.250006751987838) = 0.0002741241965492727	99.97259509269325	1	4.9949
