Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Rastrigin	100	1	0.8	50	50	1	f(-4.949185922373924, -5) = 49.99980669668587	f(-5, -5.594826359269245) = 74.57901523403778	1.960791745638093	1.323118589073174	1.9326611112874554	0	1	49.36
Rastrigin	100	2	0.8	50	50	1	f(-4.966278580026357, -5) = 49.887545762684844	f(-5, -5.518002373229107) = 75.38444646654735	1.9651173681346736	1.3091670441546646	1.9207324974491946	0	1	49.36
Rastrigin	100	3	0.8	50	50	1	f(-4.966278580026357, -5) = 49.887545762684844	f(-5, -5.420845245845337) = 73.1740914276783	1.9651173681346736	1.3481796416408098	1.9082620544453588	0	1	49.36
Rastrigin	100	4	0.8	50	50	1	f(-4.049082110742141, -5) = 41.86683720306277	f(-5.677201605157567, -5) = 71.64683887248226	2.3328056494183143	1.3765223862738338	1.9030663835979305	0	1	49.36
Rastrigin	100	5	0.8	50	50	1	f(-4.049082110742141, -5) = 41.86683720306277	f(-5.334794475082425, -5.542185316972014) = 93.90591754943435	2.3328056494183143	1.0536750771932872	1.881954555538432	0	1	49.36
Rastrigin	100	6	0.8	50	50	1	f(-4.042719627264557, -5) = 41.70165832228067	f(-5.324121446546395, -4.797866855890678) = 72.89402036989267	2.3418294260441512	1.3532894745667936	1.9600569782094177	0	1	49.36
Rastrigin	100	7	0.8	50	50	1	f(-5, -3.9774782461917457) = 40.920289302566474	f(-4.482915000079544, -5) = 65.03896400544848	2.385479720290903	1.5142575524314645	1.986260377334246	0	1	49.36
Rastrigin	100	8	0.8	50	50	1	f(-5, -3.9774782461917457) = 40.920289302566474	f(-5, -5.561045040035163) = 75.19861481385074	2.385479720290903	1.312359814470313	2.0242421375066075	0	1	49.36
Rastrigin	100	9	0.8	50	50	1	f(-4.049082110742141, -3.9774782461917457) = 32.78712650562924	f(-5.3017224219419425, -5) = 66.30117376569257	2.9597071530584023	1.485858186487915	2.1243122989979133	0	1	49.36
Rastrigin	100	10	0.8	50	50	1	f(-4.042719627264557, -3.9774782461917457) = 32.62194762484714	f(-3.529989522731417, -4.389873936609875) = 69.25489615578039	2.974247688319473	1.4233883397715656	2.2394068434088763	0	1	49.36
Rastrigin	100	11	0.8	50	50	1	f(-4.042719627264557, -3.9774782461917457) = 32.62194762484714	f(-5, -4.308082776273484) = 57.128554944445554	2.974247688319473	1.7203248918809644	2.3424551310985917	0	1	49.36
Rastrigin	100	12	0.8	50	50	1	f(-4.042719627264557, -3.9774782461917457) = 32.62194762484714	f(-4.042719627264557, -5.603644330442066) = 66.05595790120441	2.974247688319473	1.4912917976256943	2.419307702412925	0	1	49.36
Rastrigin	100	13	0.8	50	50	1	f(-3.9386451329560197, -3.9774782461917457) = 32.16712445101619	f(-4.042719627264557, -5.6974463855079405) = 62.404914711896375	3.015033761750671	1.5771648058259664	2.582961716688826	0	1	49.36
Rastrigin	100	14	0.8	50	50	1	f(-3.0020616983266044, -3.9774782461917457) = 24.93350276620052	f(-3.4282183602361362, -5) = 55.752722392961715	3.8560159382068258	1.7620300099013695	2.710717994771561	0	1	49.36
Rastrigin	100	15	0.8	50	50	1	f(-3.0020616983266044, -3.9774782461917457) = 24.93350276620052	f(-4.049082110742141, -4.671662632164994) = 53.417000005211	3.8560159382068258	1.8376610248713443	2.83048257909632	0	1	49.36
Rastrigin	100	16	0.8	50	50	1	f(-3.0020616983266044, -3.9774782461917457) = 24.93350276620052	f(-3.9386451329560197, -4.355059949616141) = 51.345428727667894	3.8560159382068258	1.9103864927778045	2.878268246169425	0	1	49.36
Rastrigin	100	17	0.8	50	50	1	f(-3.001314935354575, -3.9774782461917457) = 24.928521943581593	f(-3.5815370104785127, -5) = 56.543541743594346	3.856756671961173	1.7378144787400376	3.061275920277674	0	1	49.36
Rastrigin	100	18	0.8	50	50	1	f(-3.001314935354575, -3.9774782461917457) = 24.928521943581593	f(-2.2691249178792656, -4.431149861128093) = 55.06157694776823	3.856756671961173	1.7837528918098142	3.146862890100029	0	1	49.36
Rastrigin	100	19	0.8	50	50	1	f(-2.1286328598087643, -3.9774782461917457) = 23.54353105069826	f(-2.3468061688645254, -3.6054915513354517) = 52.10398231021149	4.074393362284968	1.8830979457593477	3.3556594998278104	0	1	49.36
Rastrigin	100	20	0.8	50	50	1	f(-2.0100256011512747, -3.2069531189183107) = 21.672726525706793	f(-3.108828558105891, -4.327635626444419) = 45.328232552127474	4.410585550291801	2.1585110091882367	3.438476558506343	0	1	49.36
