Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(0.00013739603612772378, 0.002641482897054015) = 0.0013879808478822753	99.86139429727257	1	9.8785
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(-0.0023937069058672655, -0.00016224550753207723) = 0.0011419545578963408	99.88593480148371	2	10.192
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(0.0031014372090076847, 0.0008854435532095195) = 0.00206379714229854	99.79404533442042	2	10.3481
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(-0.002962583831086496, -0.006225006907242481) = 0.009428077454019856	99.06599809688281	1	10.3826
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5) = 75	f(0.016869027252548685, 0.018659135646297065, -1.2378381815114636E-06) = 0.1253968669113359	88.85754256136424	1	9.1364
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5) = 75	f(0.0034875938905654102, -0.01098478842968409, -0.03238479878041556) = 0.23369804838158714	81.05711128519971	2	12.008
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5) = 75	f(0.0008599403520153093, -0.010492700013505551, 0.011048111629133661) = 0.046187382032332636	95.58517118199146	2	12.0737
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5) = 75	f(-0.0008550652667094205, 0.021008348382906217, -0.007330110622036812) = 0.09823695210883265	91.0550312553044	1	11.6806
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5) = 100	f(-0.97514878433412, -1.0299919670442563, -0.9978625991380059, -1.0529685674646017) = 4.964588211556727	16.765616745552418	1	12.3844
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5) = 100	f(-1.0154226069686405, -1.0392355373512232, -1.0677800802926611, -0.05586324926592723) = 5.10654461230488	16.37587315721838	2	10.7725
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5) = 100	f(-0.03957745389015077, 0.020183063262926737, -1.04113167697469, -0.04724235526187481) = 2.2454805196089698	30.81207833348772	2	10.8614
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5) = 100	f(-2.1162132853102618, -1.0232037148465782, -1.0707813273651081, -0.023952586012704113) = 10.413837994956602	8.761294846149621	1	10.6564
Rastrigin	100	100	1	1	30	25	f(-5, -5, -5, -5, -5) = 125	f(-2.077002500627387, -1.0143052470187404, -0.9826079684839077, -2.0199396134454815, -1.9924789368321205) = 15.695718568924455	5.98955951414567	1	10.6124
