Problem	Population Size	Generations	Step Size	Elites	Mutations	Crossovers	First	Best	Fitness	Crossover Points	Runtime (ms)
Rastrigin	100	100	0.1	1	30	25	f(-5, -5) = 50	f(-4.975016412231395, -4.974728320289257) = 49.747466833320814	1.970541708583175	1	5.0269
Rastrigin	100	100	0.2	1	30	25	f(-5, -5) = 50	f(-4.9751118262973915, -4.974285744469917) = 49.747512733694776	1.970539926257373	1	5.0907
Rastrigin	100	100	0.5	1	30	25	f(-5, -5) = 50	f(-1.9902842805977912, -2.9830341011263024) = 12.935114941988248	7.176115906922839	1	5.1327
Rastrigin	100	100	1	1	30	25	f(-5, -5) = 50	f(0.0025418263756584736, 0.00137156360778512) = 0.001654970894167107	99.83477635091356	1	5.9049
Rastrigin	100	100	1.5	1	30	25	f(-5, -5) = 50	f(0.0032306203401857303, 0.0032570324049117083) = 0.0041750509807787495	99.58423075969664	1	5.201
Rastrigin	100	100	2	1	30	25	f(-5, -5) = 50	f(0.003045097146320952, 0.010081535625404037) = 0.021996898681766908	97.84765504571102	1	4.7377
Booth	100	100	0.1	1	30	25	f(-5, -5) = 884	f(-3.2074030459150444, -3.445006752206311) = 513.1356904552075	0.19450118296876376	1	4.0138
Booth	100	100	0.2	1	30	25	f(-5, -5) = 884	f(-0.8667549091371747, -1.5701882543895178) = 190.10834373323974	0.5232633910510254	1	3.9271
Booth	100	100	0.5	1	30	25	f(-5, -5) = 884	f(1.0218990432179282, 2.9788687680016395) = 0.000928455195904801	99.9072406033533	1	4.2223
Booth	100	100	1	1	30	25	f(-5, -5) = 884	f(0.9941721651439601, 3.004297248581918) = 6.180078185418865E-05	99.99382030372463	1	3.4622
Booth	100	100	1.5	1	30	25	f(-5, -5) = 884	f(1.0158402032133675, 2.98827144812013) = 0.0004560936737925868	99.95441142528128	1	3.9684
Booth	100	100	2	1	30	25	f(-5, -5) = 884	f(0.9320733204080138, 3.0494131733260628) = 0.00842669515557749	99.16437206630299	1	3.4449
Levi	100	100	0.1	1	30	25	f(-5, -5) = 36.0000000000001	f(-5, -5.328824435329365) = 0.6432779132648948	60.85397922821111	1	6.4995
Levi	100	100	0.2	1	30	25	f(-5, -5) = 36.0000000000001	f(-4.330878479058512, -5.3287650008698435) = 0.6297726547092554	61.358251232801294	1	5.1376
Levi	100	100	0.5	1	30	25	f(-5, -5) = 36.0000000000001	f(-3.004757443876693, -5.326508832477399) = 0.5823991186952702	63.195181808779466	1	4.8532
Levi	100	100	1	1	30	25	f(-5, -5) = 36.0000000000001	f(-1.992942897575487, -4.3256712397509025) = 0.39997845701355333	71.42967057744653	1	4.4927
Levi	100	100	1.5	1	30	25	f(-5, -5) = 36.0000000000001	f(0.9955569632585894, -6.251763752313359) = 0.0017622008579527275	99.82408990312835	1	5.0376
Levi	100	100	2	1	30	25	f(-5, -5) = 36.0000000000001	f(1.0065176967152993, -2.250463485156634) = 0.00378969113015912	99.6224616407554	1	4.6248
